Lambda; Mean Response Time;
Policy : LRA, Duration: Expon(1.0), Requirement: Uniform(0.0, 1.0), Jobs per data point: 10000000, Seed: 3
0.1; 1.0830350323506337;
0.2; 1.1926541055485842;
0.3; 1.338206032397903;
0.4; 1.5330608048978367;
0.5; 1.7953807226062193;
0.6; 2.159525154444357;
0.7; 2.680671237211065;
0.8; 3.44901851395788;
0.9; 4.6699073563411;
1; 6.7472281085210035;
1.1; 10.78150665015218;
1.2; 20.248192024762666;
1.3; 54.82461540143825;
Error: queue length past threshold
1.4; 225.1798879424315;
Error: queue length past threshold
1.5; 100.98830195171979;
Error: queue length past threshold
1.6; 57.78914293514816;
Error: queue length past threshold
1.7; 13.689249654169004;
Error: queue length past threshold
1.8; 10.857061600560787;
Error: queue length past threshold
1.9; 8.215874912648886;
